"filename", "language", "C++", "Makefile", "CMake", "JSON", "TypeScript", "Log", "CMake Cache", "YAML", "comment", "blank", "total"
"d:\MycppCode\Qt\TowerGame\build\.cmake\api\v1\reply\index-2026-05-05T01-49-14-0253.json", "JSON", 0, 0, 0, 132, 0, 0, 0, 0, 0, 1, 133
"d:\MycppCode\Qt\TowerGame\build\.cmake\api\v1\reply\target-TowerGame-Debug-01a0c67f28104442fe73.json", "JSON", 0, 0, 0, 901, 0, 0, 0, 0, 0, 1, 902
"d:\MycppCode\Qt\TowerGame\build\.cmake\api\v1\reply\target-TowerGame_autogen-Debug-3063a93d059cf5c0d967.json", "JSON", 0, 0, 0, 71, 0, 0, 0, 0, 0, 1, 72
"d:\MycppCode\Qt\TowerGame\build\.cmake\api\v1\reply\target-TowerGame_autogen_timestamp_deps-Debug-de68d1bc2d6df0858241.json", "JSON", 0, 0, 0, 27, 0, 0, 0, 0, 0, 1, 28
"d:\MycppCode\Qt\TowerGame\build\.cmake\api\v1\reply\toolchains-v1-24da32ff3c748526569d.json", "JSON", 0, 0, 0, 90, 0, 0, 0, 0, 0, 1, 91
"d:\MycppCode\Qt\TowerGame\build\.qt\QtDeploySupport.cmake", "CMake", 0, 0, 67, 0, 0, 0, 0, 0, 0, 5, 72
"d:\MycppCode\Qt\TowerGame\build\.qt\QtDeployTargets.cmake", "CMake", 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"d:\MycppCode\Qt\TowerGame\build\CMakeCache.txt", "CMake Cache", 0, 0, 0, 0, 0, 0, 1389, 0, 0, 110, 1499
"d:\MycppCode\Qt\TowerGame\build\CMakeFiles\3.31.6-msvc6\CMakeCXXCompiler.cmake", "CMake", 0, 0, 80, 0, 0, 0, 0, 0, 0, 26, 106
"d:\MycppCode\Qt\TowerGame\build\CMakeFiles\3.31.6-msvc6\CMakeRCCompiler.cmake", "CMake", 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"d:\MycppCode\Qt\TowerGame\build\CMakeFiles\3.31.6-msvc6\CMakeSystem.cmake", "CMake", 0, 0, 10, 0, 0, 0, 0, 0, 0, 6, 16
"d:\MycppCode\Qt\TowerGame\build\CMakeFiles\3.31.6-msvc6\CompilerIdCXX\CMakeCXXCompilerId.cpp", "C++", 707, 0, 0, 0, 0, 0, 0, 0, 62, 151, 920
"d:\MycppCode\Qt\TowerGame\build\CMakeFiles\CMakeConfigureLog.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 457, 2, 24, 483
"d:\MycppCode\Qt\TowerGame\build\CMakeFiles\CMakeDirectoryInformation.cmake", "CMake", 0, 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"d:\MycppCode\Qt\TowerGame\build\CMakeFiles\Makefile.cmake", "CMake", 0, 0, 310, 0, 0, 0, 0, 0, 0, 6, 316
"d:\MycppCode\Qt\TowerGame\build\CMakeFiles\TowerGame.dir\DependInfo.cmake", "CMake", 0, 0, 31, 0, 0, 0, 0, 0, 0, 7, 38
"d:\MycppCode\Qt\TowerGame\build\CMakeFiles\TowerGame.dir\cmake_clean.cmake", "CMake", 0, 0, 43, 0, 0, 0, 0, 0, 0, 2, 45
"d:\MycppCode\Qt\TowerGame\build\CMakeFiles\TowerGame.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"d:\MycppCode\Qt\TowerGame\build\CMakeFiles\TowerGame_autogen.dir\AutogenInfo.json", "JSON", 0, 0, 0, 577, 0, 0, 0, 0, 0, 1, 578
"d:\MycppCode\Qt\TowerGame\build\CMakeFiles\TowerGame_autogen.dir\DependInfo.cmake", "CMake", 0, 0, 17, 0, 0, 0, 0, 0, 0, 7, 24
"d:\MycppCode\Qt\TowerGame\build\CMakeFiles\TowerGame_autogen.dir\cmake_clean.cmake", "CMake", 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"d:\MycppCode\Qt\TowerGame\build\CMakeFiles\TowerGame_autogen.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"d:\MycppCode\Qt\TowerGame\build\CMakeFiles\TowerGame_autogen_timestamp_deps.dir\DependInfo.cmake", "CMake", 0, 0, 16, 0, 0, 0, 0, 0, 0, 7, 23
"d:\MycppCode\Qt\TowerGame\build\CMakeFiles\TowerGame_autogen_timestamp_deps.dir\cmake_clean.cmake", "CMake", 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"d:\MycppCode\Qt\TowerGame\build\CMakeFiles\TowerGame_autogen_timestamp_deps.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"d:\MycppCode\Qt\TowerGame\build\CMakeFiles\VerifyGlobs.cmake", "CMake", 0, 0, 180, 0, 0, 0, 0, 0, 0, 19, 199
"d:\MycppCode\Qt\TowerGame\build\Desktop_Qt_6_11_0_MinGW_64_bit-Debug\.cmake\api\v1\reply.prev\cache-v2-a862bdd2050f8095da77.json", "JSON", 0, 0, 0, 6919, 0, 0, 0, 0, 0, 1, 6920
"d:\MycppCode\Qt\TowerGame\build\Desktop_Qt_6_11_0_MinGW_64_bit-Debug\.cmake\api\v1\reply.prev\cmakeFiles-v1-44240f1cf1c95cffd705.json", "JSON", 0, 0, 0, 1554, 0, 0, 0, 0, 0, 1, 1555
"d:\MycppCode\Qt\TowerGame\build\Desktop_Qt_6_11_0_MinGW_64_bit-Debug\.cmake\api\v1\reply.prev\codemodel-v2-f48d2b31b4a20703bfc9.json", "JSON", 0, 0, 0, 79, 0, 0, 0, 0, 0, 1, 80
"d:\MycppCode\Qt\TowerGame\build\Desktop_Qt_6_11_0_MinGW_64_bit-Debug\.cmake\api\v1\reply.prev\directory-.-Debug-f8a8642299ce9e7a3176.json", "JSON", 0, 0, 0, 45, 0, 0, 0, 0, 0, 1, 46
"d:\MycppCode\Qt\TowerGame\build\Desktop_Qt_6_11_0_MinGW_64_bit-Debug\.cmake\api\v1\reply.prev\index-2026-05-04T13-14-23-0670.json", "JSON", 0, 0, 0, 89, 0, 0, 0, 0, 0, 1, 90
"d:\MycppCode\Qt\TowerGame\build\Desktop_Qt_6_11_0_MinGW_64_bit-Debug\.cmake\api\v1\reply.prev\target-TowerGame-Debug-927ef5f1f2a2d98cb22a.json", "JSON", 0, 0, 0, 771, 0, 0, 0, 0, 0, 1, 772
"d:\MycppCode\Qt\TowerGame\build\Desktop_Qt_6_11_0_MinGW_64_bit-Debug\.cmake\api\v1\reply.prev\target-TowerGame_autogen-Debug-e4e483c851fc47d0fbb1.json", "JSON", 0, 0, 0, 71, 0, 0, 0, 0, 0, 1, 72
"d:\MycppCode\Qt\TowerGame\build\Desktop_Qt_6_11_0_MinGW_64_bit-Debug\.cmake\api\v1\reply.prev\target-TowerGame_autogen_timestamp_deps-Debug-de68d1bc2d6df0858241.json", "JSON", 0, 0, 0, 27, 0, 0, 0, 0, 0, 1, 28
"d:\MycppCode\Qt\TowerGame\build\Desktop_Qt_6_11_0_MinGW_64_bit-Debug\.cmake\api\v1\reply\cache-v2-6fbea9c3b0e22912f0af.json", "JSON", 0, 0, 0, 7615, 0, 0, 0, 0, 0, 1, 7616
"d:\MycppCode\Qt\TowerGame\build\Desktop_Qt_6_11_0_MinGW_64_bit-Debug\.cmake\api\v1\reply\cmakeFiles-v1-8f518b44b6e02422c154.json", "JSON", 0, 0, 0, 1839, 0, 0, 0, 0, 0, 1, 1840
"d:\MycppCode\Qt\TowerGame\build\Desktop_Qt_6_11_0_MinGW_64_bit-Debug\.cmake\api\v1\reply\codemodel-v2-ad965b1e244fdd89bd01.json", "JSON", 0, 0, 0, 79, 0, 0, 0, 0, 0, 1, 80
"d:\MycppCode\Qt\TowerGame\build\Desktop_Qt_6_11_0_MinGW_64_bit-Debug\.cmake\api\v1\reply\directory-.-Debug-f8a8642299ce9e7a3176.json", "JSON", 0, 0, 0, 45, 0, 0, 0, 0, 0, 1, 46
"d:\MycppCode\Qt\TowerGame\build\Desktop_Qt_6_11_0_MinGW_64_bit-Debug\.cmake\api\v1\reply\index-2026-05-05T01-58-36-0681.json", "JSON", 0, 0, 0, 89, 0, 0, 0, 0, 0, 1, 90
"d:\MycppCode\Qt\TowerGame\build\Desktop_Qt_6_11_0_MinGW_64_bit-Debug\.cmake\api\v1\reply\target-TowerGame-Debug-1d501d44e5bd95930ad6.json", "JSON", 0, 0, 0, 889, 0, 0, 0, 0, 0, 1, 890
"d:\MycppCode\Qt\TowerGame\build\Desktop_Qt_6_11_0_MinGW_64_bit-Debug\.cmake\api\v1\reply\target-TowerGame_autogen-Debug-e4e483c851fc47d0fbb1.json", "JSON", 0, 0, 0, 71, 0, 0, 0, 0, 0, 1, 72
"d:\MycppCode\Qt\TowerGame\build\Desktop_Qt_6_11_0_MinGW_64_bit-Debug\.cmake\api\v1\reply\target-TowerGame_autogen_timestamp_deps-Debug-de68d1bc2d6df0858241.json", "JSON", 0, 0, 0, 27, 0, 0, 0, 0, 0, 1, 28
"d:\MycppCode\Qt\TowerGame\build\Desktop_Qt_6_11_0_MinGW_64_bit-Debug\.qt\QtDeploySupport.cmake", "CMake", 0, 0, 67, 0, 0, 0, 0, 0, 0, 5, 72
"d:\MycppCode\Qt\TowerGame\build\Desktop_Qt_6_11_0_MinGW_64_bit-Debug\.qt\QtDeployTargets.cmake", "CMake", 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"d:\MycppCode\Qt\TowerGame\build\Desktop_Qt_6_11_0_MinGW_64_bit-Debug\.qtc_clangd\compile_commands.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\MycppCode\Qt\TowerGame\build\Desktop_Qt_6_11_0_MinGW_64_bit-Debug\.qtcreator\cmake-helper\conan.cmake", "CMake", 0, 0, 908, 0, 0, 0, 0, 0, 0, 119, 1027
"d:\MycppCode\Qt\TowerGame\build\Desktop_Qt_6_11_0_MinGW_64_bit-Debug\.qtcreator\cmake-helper\conan_provider.cmake", "CMake", 0, 0, 576, 0, 0, 0, 0, 0, 0, 82, 658
"d:\MycppCode\Qt\TowerGame\build\Desktop_Qt_6_11_0_MinGW_64_bit-Debug\.qtcreator\cmake-helper\maintenance_tool_provider.cmake", "CMake", 0, 0, 241, 0, 0, 0, 0, 0, 0, 26, 267
"d:\MycppCode\Qt\TowerGame\build\Desktop_Qt_6_11_0_MinGW_64_bit-Debug\.qtcreator\cmake-helper\package-manager.cmake", "CMake", 0, 0, 286, 0, 0, 0, 0, 0, 0, 40, 326
"d:\MycppCode\Qt\TowerGame\build\Desktop_Qt_6_11_0_MinGW_64_bit-Debug\.qtcreator\cmake-helper\qtcreator-project.cmake", "CMake", 0, 0, 100, 0, 0, 0, 0, 0, 0, 13, 113
"d:\MycppCode\Qt\TowerGame\build\Desktop_Qt_6_11_0_MinGW_64_bit-Debug\CMakeCache.txt", "CMake Cache", 0, 0, 0, 0, 0, 0, 1396, 0, 0, 119, 1515
"d:\MycppCode\Qt\TowerGame\build\Desktop_Qt_6_11_0_MinGW_64_bit-Debug\CMakeFiles\3.30.5\CMakeCXXCompiler.cmake", "CMake", 0, 0, 78, 0, 0, 0, 0, 0, 0, 24, 102
"d:\MycppCode\Qt\TowerGame\build\Desktop_Qt_6_11_0_MinGW_64_bit-Debug\CMakeFiles\3.30.5\CMakeRCCompiler.cmake", "CMake", 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"d:\MycppCode\Qt\TowerGame\build\Desktop_Qt_6_11_0_MinGW_64_bit-Debug\CMakeFiles\3.30.5\CMakeSystem.cmake", "CMake", 0, 0, 10, 0, 0, 0, 0, 0, 0, 6, 16
"d:\MycppCode\Qt\TowerGame\build\Desktop_Qt_6_11_0_MinGW_64_bit-Debug\CMakeFiles\3.30.5\CompilerIdCXX\CMakeCXXCompilerId.cpp", "C++", 707, 0, 0, 0, 0, 0, 0, 0, 62, 151, 920
"d:\MycppCode\Qt\TowerGame\build\Desktop_Qt_6_11_0_MinGW_64_bit-Debug\CMakeFiles\CMakeConfigureLog.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 419, 2, 21, 442
"d:\MycppCode\Qt\TowerGame\build\Desktop_Qt_6_11_0_MinGW_64_bit-Debug\CMakeFiles\CMakeDirectoryInformation.cmake", "CMake", 0, 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"d:\MycppCode\Qt\TowerGame\build\Desktop_Qt_6_11_0_MinGW_64_bit-Debug\CMakeFiles\Makefile.cmake", "CMake", 0, 0, 307, 0, 0, 0, 0, 0, 0, 6, 313
"d:\MycppCode\Qt\TowerGame\build\Desktop_Qt_6_11_0_MinGW_64_bit-Debug\CMakeFiles\TowerGame.dir\DependInfo.cmake", "CMake", 0, 0, 31, 0, 0, 0, 0, 0, 0, 7, 38
"d:\MycppCode\Qt\TowerGame\build\Desktop_Qt_6_11_0_MinGW_64_bit-Debug\CMakeFiles\TowerGame.dir\cmake_clean.cmake", "CMake", 0, 0, 43, 0, 0, 0, 0, 0, 0, 2, 45
"d:\MycppCode\Qt\TowerGame\build\Desktop_Qt_6_11_0_MinGW_64_bit-Debug\CMakeFiles\TowerGame.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"d:\MycppCode\Qt\TowerGame\build\Desktop_Qt_6_11_0_MinGW_64_bit-Debug\CMakeFiles\TowerGame_autogen.dir\AutogenInfo.json", "JSON", 0, 0, 0, 587, 0, 0, 0, 0, 0, 1, 588
"d:\MycppCode\Qt\TowerGame\build\Desktop_Qt_6_11_0_MinGW_64_bit-Debug\CMakeFiles\TowerGame_autogen.dir\DependInfo.cmake", "CMake", 0, 0, 17, 0, 0, 0, 0, 0, 0, 7, 24
"d:\MycppCode\Qt\TowerGame\build\Desktop_Qt_6_11_0_MinGW_64_bit-Debug\CMakeFiles\TowerGame_autogen.dir\cmake_clean.cmake", "CMake", 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"d:\MycppCode\Qt\TowerGame\build\Desktop_Qt_6_11_0_MinGW_64_bit-Debug\CMakeFiles\TowerGame_autogen.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"d:\MycppCode\Qt\TowerGame\build\Desktop_Qt_6_11_0_MinGW_64_bit-Debug\CMakeFiles\TowerGame_autogen_timestamp_deps.dir\DependInfo.cmake", "CMake", 0, 0, 16, 0, 0, 0, 0, 0, 0, 7, 23
"d:\MycppCode\Qt\TowerGame\build\Desktop_Qt_6_11_0_MinGW_64_bit-Debug\CMakeFiles\TowerGame_autogen_timestamp_deps.dir\cmake_clean.cmake", "CMake", 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"d:\MycppCode\Qt\TowerGame\build\Desktop_Qt_6_11_0_MinGW_64_bit-Debug\CMakeFiles\TowerGame_autogen_timestamp_deps.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"d:\MycppCode\Qt\TowerGame\build\Desktop_Qt_6_11_0_MinGW_64_bit-Debug\CMakeFiles\VerifyGlobs.cmake", "CMake", 0, 0, 180, 0, 0, 0, 0, 0, 0, 19, 199
"d:\MycppCode\Qt\TowerGame\build\Desktop_Qt_6_11_0_MinGW_64_bit-Debug\Makefile", "Makefile", 0, 472, 0, 0, 0, 0, 0, 0, 0, 139, 611
"d:\MycppCode\Qt\TowerGame\build\Desktop_Qt_6_11_0_MinGW_64_bit-Debug\Testing\Temporary\LastTest.log", "Log", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\MycppCode\Qt\TowerGame\build\Desktop_Qt_6_11_0_MinGW_64_bit-Debug\TowerGame_autogen\EWIEGA46WW\moc_widget.cpp", "C++", 88, 0, 0, 0, 0, 0, 0, 0, 8, 14, 110
"d:\MycppCode\Qt\TowerGame\build\Desktop_Qt_6_11_0_MinGW_64_bit-Debug\TowerGame_autogen\include\ui_widget.h", "C++", 27, 0, 0, 0, 0, 0, 0, 0, 7, 13, 47
"d:\MycppCode\Qt\TowerGame\build\Desktop_Qt_6_11_0_MinGW_64_bit-Debug\TowerGame_autogen\moc_predefs.h", "C++", 485, 0, 0, 0, 0, 0, 0, 0, 0, 1, 486
"d:\MycppCode\Qt\TowerGame\build\Desktop_Qt_6_11_0_MinGW_64_bit-Debug\TowerGame_autogen\mocs_compilation.cpp", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"d:\MycppCode\Qt\TowerGame\build\Desktop_Qt_6_11_0_MinGW_64_bit-Debug\cmake_install.cmake", "CMake", 0, 0, 59, 0, 0, 0, 0, 0, 0, 9, 68
"d:\MycppCode\Qt\TowerGame\build\Desktop_Qt_6_11_0_MinGW_64_bit-Debug\qtcsettings.cmake", "CMake", 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 3
"d:\MycppCode\Qt\TowerGame\build\Makefile", "Makefile", 0, 472, 0, 0, 0, 0, 0, 0, 0, 139, 611
"d:\MycppCode\Qt\TowerGame\build\cmake_install.cmake", "CMake", 0, 0, 63, 0, 0, 0, 0, 0, 0, 9, 72
"d:\MycppCode\Qt\TowerGame\build\compile_commands.json", "JSON", 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 86
"d:\MycppCode\Qt\TowerGame\main.cpp", "C++", 21, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"d:\MycppCode\Qt\TowerGame\widget.cpp", "C++", 431, 0, 0, 0, 0, 0, 0, 0, 18, 48, 497
"d:\MycppCode\Qt\TowerGame\widget.h", "C++", 82, 0, 0, 0, 0, 0, 0, 0, 0, 21, 103
"Total", "-", 3490, 944, 3807, 32135, 15, 3, 2785, 876, 183, 1573, 45811
